film,review,sentiment,sentiment_category
Barbie,classic point got give credit deserves,0.16666666666666666,neutral
Barbie,silly best worst funny comedy musical movie,-0.05,neutral
Barbie,writing pretty messy honestly quite clear cut movie called barbie set design costume wonderful really great moment ryan gosling even michael cera well big issue kind exhausted go pretty sure target audience also movie musical musical,0.2692307692307692,positive
Barbie,liked movie showed reality woman treated society men heavy burden woman carry perfect love made movie teenager also included femininity bit truth real world teenage daughter watched movie surprisingly related overall good would liked suitable younger audience,0.32916666666666666,positive
Barbie,cried continuously watched relatability sadness good absolutely loved,0.7,positive
Barbie,one worst movie history wish could 05,-1.0,negative
Barbie,barbie exposed killing planet glorification rampant consumerism nonsense,0.0,neutral
Barbie,interesting take barbie franchise time feel like making drastic change suddenly one movie,0.25,positive
Barbie,ryan gosling doofy weird presentation barbie worst stupid looking character 65 looking love playing barbies movie nonsensical stupid,-0.5199999999999999,negative
Barbie,giant pile crap movie ability lower iq make sterile time,-0.4,negative
Barbie,cheesy movie give great idea world plastic kid liked show cup tea entertaining,0.35,positive
Barbie,margot robbie perfect barbie,1.0,positive
Barbie,whomever reading kenough,0.0,neutral
Barbie,amazing movie truly good fun impactful way emphasize battle gender definitely deserves 83,0.4,positive
Barbie,joy watch start finish enjoy whether barbie fan homage doll history spot costume set design oscarworthy comedic sentimental meet eye watched twice enjoyed time legally blonde margot robbie ryan gosling perfect barbie ken anyone doubted ryan seen movie everyone involved movie gave blast show gave 810,0.4083333333333334,positive
Barbie,itâs difficult put word good movie upon approach donât expect much film toy watch itâ put fashionable layer depth humor thoughtprovoking drama take full responsibility telling story toy female toy exists world female complicated fun difficult beautiful sad smile laugh cry whole movie iâve seen several time love movie think better job representing humanity serious film tied lovely pink bow,0.11333333333333336,neutral
Barbie,12 star ryan gosling kate mckinnon still know movie madepointless unnecessary like margot robbie,-0.4,negative
Barbie,refused watch slap face iconic toy could begin conceive barbie deserved ghastly reputation,0.5,positive
Barbie,typical barbie movie know love early 2000s regardless beautiful movie absolutely love deeper meaning behind,0.23055555555555554,positive
Barbie,barbie one anticipated film 2023 filled dazzling visuals talented cast stumble crucial area ultimately undermine overall experience acting undoubtedly film strongest point margot robbie brings charisma vulnerability character delivering captivating performance balance humor emotion ryan gosling hand steal show ken showcasing impeccable comedic timing adding unexpected depth character supporting cast also contributes solidly evident chemistry welldelivered dialogue however soundtrack leaf much desired despite featuring renowned artist clear intention capture vibrant essence barbies universe music feel disjointed forced several moment musical choice seem mismatched scene accompany others fail create atmosphere film strives soundtrack amplify magic fun end distracting element barbie merit combination disappointing soundtrack minor script misstep make fall short truly memorable itâs visually stunning wellacted film leaf audience wanting cohesion emotional impact,0.15952380952380954,neutral
Barbie,barbie one anticipated film 2023 filled dazzling visuals talented cast stumble crucial area ultimately undermine overall experience acting undoubtedly film strongest point margot robbie brings charisma vulnerability character delivering captivating performance balance humor emotion ryan gosling hand steal show ken showcasing impeccable comedic timing adding unexpected depth character supporting cast also contributes solidly evident chemistry welldelivered dialogue however soundtrack leaf much desired despite featuring renowned artist clear intention capture vibrant essence barbies universe music feel disjointed forced several moment musical choice seem mismatched scene accompany others fail create atmosphere film strives soundtrack amplify magic fun end distracting element barbie merit combination disappointing soundtrack minor script misstep make fall short truly memorable itâs visually stunning wellacted film leaf audience wanting cohesion emotional impact,0.15952380952380954,neutral
Barbie,one best movie ever seen life margot robbie ryan gosling chemistry awesome also ryan gosling ken performance perfect gave ken character penury mind blowing charming really good whole crew incredible margot robbie right person barbie best plus soundtrack album successful billie eilish really deserved oscar got go back talk movie opinion movie everyone mean grew barbie doll barbie movie barbie stuff get vibe movie deep connection barbie meaning growing definetly cry whole movie movie girl growing emotional decision life greta gerwig literally gave u rollercoaster emotion influenced u also tried gave u message many people could get actually making sad message growing beauty standarts social medium brings life many girl think ugly making feel bad go back childhood memory try memorise barbie brings life barbie teacher barbie swimmer barbie actress barbie amazing mom barbie singer barbie everything main idea never beauteousness barbie main idea barbie wonderful woman everything greta gerwig gave u scene movie end day many people forgot scene change mindset growing beauty standarts feel sorry however oscar could understand barbie deserved many award low thoughted idea barbie came back home one oscar billie eilish would like see everyone feel like felt movie ended full tear thank god every day everything beauty attractive sometimes like barbie whatever want best plus people think whatever want time stop opinion sometimes focus improvement every day keep going thanks everyone movie barbie changed life many way,0.3168389724310777,positive
Barbie,actor ken ryan gosling truly amazing able act awardwinning movie glad could provide everyone,0.5333333333333333,positive
Barbie,movie could maybe revolutionary certainly socially significant man seriously looked forward movie expose awful toxic masculinity celebrates independence creative force woman really hoping see something clever eyeopening something would make many men think need time instead ended watching james camerons avatar bigbudget movie nice colour completely crucifies potential favour shoving message spectator throat least subtle way possible even shame realize actually important said message movie want thoughtprovoking difficult movie creator put thought creating good story around message take cat dogstype premise sprinkled witty oneliners clumsy reference score point social medium asked 10year old child simplify whole thing spectator tiny brain struggle much understand message oh fan barbie waste time movie barbie universe random skin cover whole thing could well replace barbie ken gomez morticia addams iconic couple would make absolutely difference reiterate seriously mad movie important message message really support want see woman empowerment toxic masculinitydominated society end primitive puerile piece massespleasing medium used creator personal scoresettling much like bottom making something wellthought thoughtprovoking crearly never plan indeed see none movie end cheap entertainment public adulation much harm feminism actual hardworking brilliant woman society,0.0969298245614035,neutral
Barbie,loved heartwarming fun age empowering,0.5,positive
Barbie,cried definitely child loved message movie,0.35,positive
Barbie,movie okay extremely difficult come semblance story rate higher message conveyed subtle thought provoking heavy handed offputting always refreshing chastised preached listened america character telling u impossible woman real world also heard male problem ken gerwig got best cast material,0.075,neutral
Barbie,laughed lot pleasantly surprised good,0.5,positive
Barbie,worst movie ever watched even deserve 1 star rating,-1.0,negative
Barbie,barbie cleverly done get hype okay,0.3333333333333333,positive
Barbie,loved necessarily change life wellmade movie casting margot robbie ryan gosling genius perfect respective role acted part well also liked casting kate mckinnon simu liu movie pretty tapped childish flair barbieland well contrast real world well designed shown throughout definitely good pick want funny film still manages pull heartstrings getting billie eilish amazing choice checking film greta gerwig,0.3727272727272727,positive
Barbie,descent movie ken weird,-0.5,negative
Barbie,loved movie fun watch loved music entertaining,0.55,positive
Barbie,ãtimo filme boa proposta e bem cirãºrgico porãm não darei 5 estrelas,0.0,neutral
Barbie,direãão ruim atuaãão ok roteiro ruim caracterizaãão bom soundtrack ruim,0.5,positive
Barbie,ok kid like,0.5,positive
Barbie,excelente estratãgia durante divulgaããµes ma exageraram muito filme não posso recomendar,0.0,neutral
Barbie,fun good movie like animated version could handled character better used usefully shown movie ending quite good,0.5,positive
Barbie,far see people would absolutely hate movie concept barbie movie enough make people feel like art cinema compromised corporate america whole movie well received made billion dollar boxoffice nominated 8 oscar including best picture clearly people really liked lot enjoy film movie good job poking fun barbie brand without feeling much like spoof comedy fact film really funny kind important element understandably comedy subjective thing say laughed loud several time movie movie clever treat worldbuilding nicely avoids firm answer world work yeah think sort stuff film lot add nice spend much time real world focus creative fun barbie world movie visually unique gag case movie focusing bizarre comedy best memorable thing happen try serious message loses momentum misunderstand movie need serious stuff order make comedy work stuff ugly betty daughter good emotional stuff towards end realize barbie need character arc feel like tack one last second funny joke towards end become little repetitive message feel heavy handed 5th time brought side note wanted cameo voice actress barbie kelly sheridan emphasize hollywood learn wrong lesson movie success want polly pocket movie uno movie made film success beyond brand marketing campaign uniquely greta gerwigs vision movie concerned mass audience appeal would tell joke thought funny hoped others would enjoy well want duplicate barbies success give creative people control make stuff wrapped plastic fantastic,0.19927884615384614,neutral
Barbie,great film perfect casting aesthetic amazing sense humor canât call film perfect looming feeling capitalist message consume buy barbie coupled somewhat forced message could naturally integrated make movie rewatchable overall great fun film good message would recommend anyone also chevy ad film obvious horrible iâll let pas reference barbieâs empowered origin owning car chevy corvette shot blue car feel super forced fit,0.2770833333333334,positive
Barbie,clever colorful jab toxic masculinity unfortunately almost fell asleep mid way became slow would recommend,-0.06666666666666668,neutral
Barbie,movie felt lacklustre watching atsv across spidey verse even genre watched quick succession view coloured really target audience maybe way though guy definitely interesting hit point often unemphasized even unseen general population doesnât really get validated regard woman go really important plot felt kind simple maybe knew amount expectation woman live young age giving pick know also know man probably really enlightening people really thought thinking retrospectively memorable movie overall net positive id like think learning original maker barbie also really sweet,0.24844276094276088,positive
Barbie,greta gerwig made barbie cheerful amusing movie also shining light depressing issue well definitely recommend watching ð,0.15999999999999998,neutral
Barbie,funny wasnât original smart writing bad movie scream western imperialist feminisim legally blonde way better barbie movie glad movie win award ryan gosling actor win anything perfect slap face chef kiss,0.339935064935065,positive
Barbie,mulhe pelada zem calzinha goztosa,0.0,neutral
